Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
1,300,1,0.949999988,,0.687175698,,,0.639617303
1,600,0.804597683,0.699999988,,,,,
2,300,0.895833313,0.860000014,,,,,
2,600,1,0.810000002,,,,,
3,300,0.870967738,0.810000002,,,,,
3,600,0.942028954,0.649999976,,,,,
4,300,0.817307698,0.850000024,,,,,
4,600,0.978021998,0.889999986,,,,,
5,300,0.988636374,0.870000005,,,,,
5,600,0.988888899,0.889999986,,,,,
6,300,1,0.949999988,,,,,
6,600,0.984615399,0.639999986,,,,,
7,300,0.978260889,0.899999976,,,,,
7,600,1,0.939999998,,,,,
8,300,0.951219486,0.779999971,,,,,
8,600,0.891089094,0.899999976,,,,,
9,300,0.78504671,0.839999974,,,,,
9,600,1,0.920000017,,,,,
10,300,1,0.970000029,,,,,
10,600,1,0.930000007,,,,,
11,300,1,0.939999998,,,,,
11,600,1,0.910000026,,,,,
12,300,0.978260889,0.899999976,,,,,
12,600,0.977272749,0.860000014,,,,,
13,300,0.978260889,0.899999976,,,,,
13,600,0.909090931,0.899999976,,,,,
14,300,0.988888899,0.889999986,,,,,
14,600,0.968750029,0.930000007,,,,,
15,300,1,0.930000007,,,,,
15,600,0.978723424,0.920000017,,,,,
16,300,1,0.930000007,,,,,
16,600,0.976190498,0.819999993,,,,,
17,300,0.946808498,0.889999986,,,,,
17,600,0.953488348,0.819999993,,,,,
18,300,0.968085137,0.910000026,,,,,
18,600,0.968750029,0.930000007,,,,,
19,300,0.989010999,0.899999976,,,,,
19,600,0.989473694,0.939999998,,,,,
20,300,0.979166686,0.939999998,,,,,
20,600,0.968421082,0.920000017,,,,,
21,300,0.979166686,0.939999998,,,,,
21,600,0.989130445,0.910000026,,,,,
22,300,0.978947388,0.930000007,,,,,
22,600,0.968750029,0.930000007,,,,,
23,300,0.976744207,0.839999974,,,,,
23,600,0.979166686,0.939999998,,,,,
24,300,0.917525788,0.889999986,,,,,
24,600,0.967391334,0.889999986,,,,,
25,300,0.967391334,0.889999986,,,,,
25,600,0.966292166,0.860000014,,,,,
26,300,0.966292166,0.860000014,,,,,
26,600,0.948979581,0.930000007,,,,,
27,300,0.945652162,0.870000005,,,,,
27,600,0.970588263,0.99000001,,,,,
28,300,0.914893635,0.860000014,,,,,
28,600,0.945652162,0.870000005,,,,,
29,300,0.910000026,0.910000026,,,,,
29,600,0.988764055,0.879999995,,,,,
30,300,0.927835057,0.899999976,,,,,
30,600,0.949494938,0.939999998,,,,,
31,300,0.903225829,0.839999974,,,,,
31,600,0.957446786,0.899999976,,,,,
32,300,0.927835057,0.899999976,,,,,
32,600,0.959595938,0.949999988,,,,,
33,300,0.979166686,0.939999998,,,,,
33,600,0.978260889,0.899999976,,,,,
34,300,0.943181804,0.829999983,,,,,
34,600,0.913978513,0.850000024,,,,,
35,300,0.916666682,0.879999995,,,,,
35,600,0.93617021,0.879999995,,,,,
36,300,0.952941153,0.810000002,,,,,
36,600,0.888888876,0.879999995,,,,,
37,300,0.72477064,0.790000021,,,,,
37,600,0.895833313,0.860000014,,,,,
38,300,0.904255347,0.850000024,,,,,
