Epoch,Step,Precision,Recall,,Precision_AVERAGE,,,Recall_AVERAGE
1,300,0,0,,0.481607973,,,0.413637874
1,600,0,0,,,,,
2,300,0,0,,,,,
2,600,0.7405,0.97,,,,,
3,300,0.5814,1,,,,,
3,600,0.5783,0.96,,,,,
4,300,0,0,,,,,
4,600,0.4275,0.56,,,,,
5,300,0.2632,0.15,,,,,
5,600,0.3095,0.26,,,,,
6,300,0.4935,0.38,,,,,
6,600,0,0,,,,,
7,300,0.0488,0.02,,,,,
7,600,0,0,,,,,
8,300,0.5333,0.08,,,,,
8,600,0,0,,,,,
9,300,0.3333,0.18,,,,,
9,600,0.566,0.9,,,,,
10,300,0.3243,0.12,,,,,
10,600,0.4,0.4,,,,,
11,300,0,0,,,,,
11,600,0,0,,,,,
12,300,0,0,,,,,
12,600,0,0,,,,,
13,300,0.4839,0.15,,,,,
13,600,0.4468,0.21,,,,,
14,300,0,0,,,,,
14,600,0.093,0.04,,,,,
15,300,0,0,,,,,
15,600,0,0,,,,,
16,300,0,0,,,,,
16,600,0,0,,,,,
17,300,0.1053,0.04,,,,,
17,600,0.3462,0.18,,,,,
18,300,0,0,,,,,
18,600,0,0,,,,,
19,300,0.3333,0.1,,,,,
19,600,0,0,,,,,
20,300,0.0667,0.01,,,,,
20,600,0,0,,,,,
21,300,0,0,,,,,
21,600,0,0,,,,,
22,300,0,0,,,,,
22,600,0.4444,0.04,,,,,
23,300,0,0,,,,,
23,600,0.2,0.01,,,,,
24,300,0,0,,,,,
24,600,0,0,,,,,
25,300,0,0,,,,,
25,600,0,0,,,,,
26,300,0,0,,,,,
26,600,0,0,,,,,
27,300,0,0,,,,,
27,600,0,0,,,,,
28,300,0,0,,,,,
28,600,0,0,,,,,
29,300,0,0,,,,,
29,600,0,0,,,,,
30,300,0,0,,,,,
30,600,0,0,,,,,
31,300,0,0,,,,,
31,600,0,0,,,,,
32,300,0,0,,,,,
32,600,0,0,,,,,
33,300,0,0,,,,,
33,600,0,0,,,,,
34,300,0,0,,,,,
34,600,0,0,,,,,
35,300,0,0,,,,,
35,600,0,0,,,,,
36,300,0,0,,,,,
36,600,0,0,,,,,
37,300,0,0,,,,,
37,600,0,0,,,,,
38,300,0,0,,,,,
38,600,0,0,,,,,
39,300,0,0,,,,,
39,600,0,0,,,,,
40,300,0,0,,,,,
40,600,0,0,,,,,
41,300,0,0,,,,,
41,600,0,0,,,,,
42,300,0,0,,,,,
42,600,0,0,,,,,
43,300,0,0,,,,,
43,600,0,0,,,,,
44,300,0,0,,,,,
44,600,0,0,,,,,
45,300,0,0,,,,,
45,600,0,0,,,,,
46,300,0,0,,,,,
46,600,0,0,,,,,
47,300,0,0,,,,,
47,600,0,0,,,,,
48,300,0,0,,,,,
48,600,0,0,,,,,
49,300,0,0,,,,,
49,600,0,0,,,,,
50,300,0,0,,,,,
50,600,0,0,,,,,
51,300,0,0,,,,,
51,600,0,0,,,,,
52,300,0,0,,,,,
52,600,0,0,,,,,
53,300,0,0,,,,,
53,600,0,0,,,,,
54,300,0,0,,,,,
54,600,0,0,,,,,
55,300,0,0,,,,,
55,600,0,0,,,,,
56,300,0,0,,,,,
56,600,0,0,,,,,
57,300,0,0,,,,,
57,600,0,0,,,,,
58,300,0,0,,,,,
58,600,0,0,,,,,
59,300,0,0,,,,,
59,600,0,0,,,,,
60,300,0,0,,,,,
60,600,0,0,,,,,
61,300,0,0,,,,,
61,600,0,0,,,,,
62,300,0,0,,,,,
62,600,0,0,,,,,
63,300,0,0,,,,,
